id,edition,price,title,year,author_id,publisher_id
582,7,408.06,quisque arcu libero,2022,27,23
583,4,129.79,ipsum,1999,144,13
584,6,756.07,sed augue aliquam erat,1992,199,137
585,3,684.9,nisl ut volutpat sapien arcu,2011,51,166
586,6,578.23,auctor sed tristique in tempus,2005,194,112
587,6,567.54,tortor eu pede,2008,199,114
588,3,291.53,curae,1999,70,64
589,5,485.04,dictumst maecenas ut massa,2006,195,97
590,5,771.69,nibh quisque id justo sit,1991,119,110
591,7,154.42,vulputate,2004,68,98
592,2,465.39,eu interdum eu,2001,14,154
593,2,332.76,volutpat eleifend donec ut dolor,1992,178,164
594,7,605.04,morbi,1999,20,36
595,1,411.4,felis sed,1997,71,28
596,7,166.14,semper,2005,81,78
597,1,526.01,nisi,2021,152,79
598,2,112.36,nonummy integer non,1992,34,181
599,5,261.5,mauris eget massa,1995,66,41
600,7,662.47,nisl nunc nisl duis,1995,175,76
601,4,448.59,odio justo,2006,195,121
602,5,711.3,ante ipsum primis,1996,48,178
603,7,496.57,ac est lacinia,1995,148,152
604,4,698.46,metus arcu adipiscing,1999,20,79
605,4,577.23,lobortis vel,1994,103,8
606,5,284.21,pellentesque eget nunc donec,2022,136,72
607,5,428.01,ut,2007,186,46
608,2,390.03,sed tristique in,2004,172,183
609,6,589.55,justo nec condimentum,2000,150,199
610,5,286.9,viverra,2017,69,71
611,4,481.42,sit,2005,27,169
612,5,482.2,dui,2005,35,94
613,4,585.71,hac,1990,81,103
614,4,657.45,velit nec nisi vulputate,2002,148,42
615,5,243.6,sit,2011,141,185
616,2,347.26,nisi,2017,54,131
617,3,539.37,quis augue luctus tincidunt nulla,2022,167,119
618,2,774.01,tristique in,2015,100,9
619,1,614.52,dignissim vestibulum vestibulum ante ipsum,2002,116,127
620,1,146.44,sapien quis libero nullam,2006,12,3
621,3,563.92,eleifend pede libero,2016,168,51
622,4,527.04,curae mauris viverra diam,2007,109,181
623,4,273.42,purus aliquet at feugiat non,2021,1,117
624,3,699.46,dui luctus rutrum,2001,189,68
625,1,781.45,velit eu est congue,1995,42,61
626,2,229.52,id nulla ultrices,2002,194,140
627,1,387.15,potenti nullam porttitor lacus,2009,107,32
628,2,303.26,faucibus orci luctus et,2000,4,101
629,2,750.16,platea dictumst,1999,58,198
630,2,286.76,laoreet,1995,90,15
631,3,166.91,lectus,1994,156,43
632,5,581.6,aliquet at feugiat non pretium,2010,145,13
633,2,536.27,dolor morbi vel lectus in,2012,45,17
634,3,617.53,molestie,2017,69,173
635,4,226.93,venenatis tristique fusce congue,2013,158,152
636,3,670.09,penatibus et magnis dis,2016,182,108
637,7,197.54,sed sagittis nam congue,2011,130,123
638,4,466.39,maecenas,2006,77,13
639,5,401.87,pede posuere nonummy,2003,55,140
640,4,183.6,nulla elit,2021,116,51
641,5,313.25,ultrices,2005,114,44
642,6,643.27,montes,1997,187,88
643,6,350.4,ante vivamus tortor duis mattis,2006,160,138
644,2,154.85,purus aliquet,1996,41,156
645,7,744.7,quis augue luctus tincidunt nulla,2017,132,109
646,2,556.73,luctus,2003,92,194
647,1,588.84,in consequat ut nulla,2009,164,6
648,5,690.46,blandit lacinia,2018,85,75
649,4,298.3,sapien placerat,1993,20,176
650,2,573.27,habitasse,2010,104,3
651,4,185.82,quam fringilla rhoncus,2003,197,100
652,3,687.02,augue aliquam erat,2007,129,124
653,7,708.03,ac,1992,116,131
654,6,555.02,hac,2020,162,73
655,2,553.41,dapibus dolor vel est donec,2000,137,65
656,2,458.96,odio in hac,2009,129,98
657,4,318.51,non mattis pulvinar,2010,99,104
658,3,370.0,ante ipsum primis in,2006,35,177
659,1,645.5,laoreet ut rhoncus,2020,38,68
660,1,512.36,lobortis sapien sapien,2006,160,164
661,4,342.24,tortor id nulla,2009,178,25
662,4,374.22,tincidunt eget tempus vel pede,2020,44,5
663,3,491.08,vestibulum velit id,2017,148,150
664,2,401.83,morbi vel,2007,138,54
665,2,535.03,nibh quisque id justo sit,1995,155,135
666,1,575.55,sit amet eros suspendisse,1990,66,109
667,2,769.72,orci mauris,2002,48,35
668,6,642.45,nibh in,1994,154,139
669,4,510.81,morbi odio odio elementum eu,2004,69,197
670,5,702.69,est,1990,192,110
671,4,344.05,pretium,2012,94,44
672,4,503.08,quis orci eget orci vehicula,1995,51,62
673,6,630.5,nibh fusce,1995,19,184
674,2,121.21,dapibus nulla suscipit ligula,1990,138,124
675,2,449.36,hac habitasse platea,2014,141,148
676,2,723.46,mollis molestie,2017,69,54
677,7,404.97,aliquam augue quam sollicitudin vitae,2018,180,27
678,2,752.75,felis donec semper sapien,2018,173,34
679,4,655.06,volutpat dui maecenas,2008,15,99
680,5,252.63,consectetuer adipiscing elit proin,2005,97,167
681,7,166.8,dictumst morbi vestibulum velit,2002,184,48
682,2,562.14,neque sapien placerat,2004,187,43
683,7,576.56,nibh fusce lacus purus,2004,125,134
684,6,500.5,tempus vivamus in felis,2001,105,156
685,2,179.23,sit amet eros suspendisse,1991,87,71
686,2,138.42,nulla,2005,52,165
687,7,456.05,sapien quis libero,2010,192,138
688,4,313.91,ut,2008,111,88
689,4,408.6,erat vestibulum sed magna at,2001,128,21
690,1,480.32,non,1999,96,114
691,6,136.23,tristique in tempus,2015,75,132
692,3,401.31,donec semper,1997,174,134
693,7,599.51,posuere cubilia curae donec,2011,147,145
694,1,420.73,integer non velit,1992,139,103
695,7,314.97,lacinia sapien,2003,3,85
696,6,180.22,pellentesque volutpat dui maecenas,1993,128,161
697,4,505.8,metus sapien ut nunc vestibulum,2013,54,42
698,6,581.85,libero ut massa,1996,9,196
699,4,149.03,vivamus metus,2001,153,74
700,3,210.79,sit amet sem,2013,47,53
701,6,649.7,in libero,1999,187,43
702,3,396.35,nisl venenatis lacinia,2020,17,194
703,2,514.3,eget,2016,44,143
704,7,163.18,est congue elementum in hac,1990,61,84
705,2,442.32,nibh in,2013,93,158
706,3,682.26,in quam fringilla,2009,27,196
707,4,359.1,adipiscing elit proin,2015,34,39
708,2,355.44,dolor sit amet consectetuer adipiscing,1995,178,195
709,3,501.93,sagittis nam congue risus,2010,5,40
710,2,504.8,et magnis,2002,79,33
711,5,649.21,lacus morbi quis,2020,167,15
712,4,230.34,velit,1997,39,196
713,4,533.27,in,2005,74,45
714,6,728.78,pharetra magna vestibulum aliquet ultrices,2006,186,55
715,1,119.14,quis augue luctus,2004,155,57
716,2,713.96,varius integer ac leo,2005,159,64
717,2,724.04,dictumst etiam,2008,129,86
718,5,682.55,vehicula consequat morbi a ipsum,2020,3,85
719,2,178.71,morbi a,2000,174,6
720,1,623.36,platea,2013,22,190
721,7,583.03,hendrerit at vulputate,1997,77,61
722,3,643.68,rhoncus sed vestibulum,2018,157,179
723,4,285.27,lacus at,1999,48,15
724,4,795.3,turpis,2016,156,90
725,3,604.66,proin eu mi nulla,2020,171,192
726,2,799.37,dolor sit,1996,112,120
727,3,307.71,ac leo,1998,57,68
728,1,331.85,massa tempor convallis,1992,80,78
729,1,772.71,praesent,2011,190,50
730,7,683.23,odio justo,1993,1,161
731,6,466.72,odio curabitur convallis duis,2019,158,162
732,1,442.09,libero quis orci,2018,49,12
733,7,697.3,non velit donec diam,1997,187,154
734,2,475.95,eu magna,1996,118,125
735,2,352.3,orci,2006,64,27
736,1,330.23,purus sit,2006,19,144
737,6,207.06,a pede posuere nonummy integer,2013,59,73
738,2,637.26,elit sodales scelerisque mauris sit,1993,156,122
739,4,296.12,primis,2014,163,67
740,2,257.74,ullamcorper augue a suscipit nulla,1992,170,122
741,5,153.26,mattis egestas metus aenean,2013,63,23
742,7,171.88,justo nec condimentum,2018,31,52
743,3,260.69,ut,2010,12,200
744,3,383.38,aliquam quis,2006,128,41
745,3,640.86,fusce,1998,55,6
746,5,339.24,morbi non lectus,1992,193,90
747,5,482.15,eu est congue elementum in,2022,55,137
748,2,481.1,orci,2013,115,132
749,3,783.69,turpis elementum ligula vehicula consequat,2001,182,57
750,6,778.34,hac habitasse,2016,56,118
751,6,591.44,dis parturient,2001,139,184
752,7,394.63,vehicula condimentum curabitur in libero,1996,134,187
753,4,576.5,nulla eget eros,2018,50,125
754,6,669.26,ut,2012,152,86
755,6,583.51,posuere cubilia curae donec,2003,139,162
756,6,731.69,justo aliquam quis turpis eget,1995,96,151
757,7,589.02,risus auctor sed tristique in,1992,102,36
758,5,681.24,consectetuer eget rutrum at,1996,63,194
759,6,236.46,interdum mauris,2007,130,177
760,4,430.72,varius,2011,37,128
761,6,328.7,phasellus in felis donec semper,2005,101,171
762,2,382.98,venenatis,2006,105,18
763,7,775.74,neque aenean,2002,190,192
764,5,484.41,consequat dui nec nisi,2004,63,91
765,4,384.64,sed vel enim sit amet,2002,27,136
766,4,408.08,non mattis pulvinar nulla,2006,85,5
767,1,252.03,at vulputate,1993,53,162
768,6,586.57,in libero ut,2003,49,187
769,3,339.3,interdum eu tincidunt in leo,2020,181,120
770,5,489.58,non sodales,2001,140,12
771,4,436.02,pede venenatis non sodales,2012,95,151
772,2,628.01,quam,2011,20,100
773,7,170.79,odio odio elementum eu interdum,2014,8,53
774,4,346.54,diam,1991,187,141
775,1,139.43,tempor convallis,1992,2,151
776,2,608.92,ultrices mattis odio,2007,195,181
777,3,368.12,viverra eget,2010,66,183
778,4,112.59,vulputate vitae nisl aenean lectus,2013,183,4
779,7,695.22,pellentesque ultrices,1990,51,137
780,2,359.32,morbi sem mauris laoreet ut,2001,20,50
781,1,188.49,molestie nibh in,1999,122,199
782,4,487.88,sit amet eros suspendisse accumsan,2011,132,64
783,3,516.44,in faucibus orci,2018,50,143
784,2,674.98,tortor id,2015,70,178
785,3,416.66,urna,2015,18,103
786,3,532.24,maecenas,2009,60,83
787,4,299.57,montes,1999,72,153
788,3,372.95,amet lobortis sapien sapien non,1997,148,144
789,3,168.95,duis at velit eu,2017,153,2
790,3,133.77,felis ut,1993,192,81
791,2,483.67,at dolor,2022,184,75
792,1,715.66,sem mauris laoreet,2000,175,14
793,4,312.11,amet,1994,9,15
794,6,426.2,hac habitasse platea,2016,167,17
795,6,230.18,mollis molestie,1992,29,119
796,2,762.48,quisque erat eros viverra,2018,168,59
797,2,127.78,ut rhoncus,2005,67,132
798,7,488.75,phasellus in felis,2005,79,139
799,1,520.08,quis justo maecenas rhoncus,2008,138,200
800,5,267.28,pretium,2014,114,23
801,6,120.97,ipsum ac tellus semper interdum,2021,25,49
802,7,399.9,sapien in sapien,2013,96,26
803,1,222.42,nascetur ridiculus mus etiam,2022,184,140
804,7,112.51,elementum eu interdum eu tincidunt,2013,43,52
805,7,170.81,integer tincidunt ante,2016,121,44
806,6,397.53,quisque porta volutpat,2010,20,46
807,4,442.07,lacinia eget tincidunt eget tempus,2019,107,64
808,6,787.09,primis in,2012,22,149
809,1,209.07,semper interdum mauris ullamcorper,1999,132,109
810,5,494.95,odio in hac habitasse platea,2011,133,198
811,3,246.89,consequat metus sapien,2014,122,126
812,3,319.56,augue a suscipit,2009,97,76
813,6,686.5,dui luctus rutrum,2000,100,27
814,2,683.93,sapien iaculis congue vivamus metus,2005,17,166
815,2,275.84,iaculis congue vivamus metus arcu,2019,75,130
816,1,550.72,id,2004,138,2
817,2,695.54,mollis molestie lorem,2000,87,15
818,2,464.47,primis in faucibus orci luctus,1997,29,183
819,6,400.3,neque duis,1993,96,194
820,3,478.27,non interdum in ante vestibulum,1994,72,137
821,6,497.49,nunc proin,1996,74,97
822,5,278.82,dictumst maecenas ut massa,1995,147,159
823,3,528.12,duis,2011,17,148
824,2,128.0,praesent,2022,48,179
825,6,131.62,suspendisse,2011,45,183
826,6,343.51,vestibulum ante ipsum primis,2002,25,122
827,1,672.37,morbi,2009,21,39
828,3,444.29,augue luctus tincidunt nulla,2020,53,121
829,5,140.04,vestibulum quam sapien varius ut,2002,52,133
830,6,288.28,ante vivamus tortor duis mattis,1993,93,29
831,6,584.29,proin at,2017,74,68
832,7,469.49,vitae consectetuer eget rutrum at,2007,104,5
833,7,502.96,sed nisl nunc rhoncus,2005,89,77
834,4,753.7,amet sem fusce consequat nulla,2014,169,60
835,1,566.0,sit,2001,54,166
836,1,775.73,fusce congue diam id,1998,82,167
837,1,570.14,molestie nibh in,2015,131,12
838,5,558.46,sit amet nunc,1993,103,93
839,4,242.43,in hac habitasse platea dictumst,2021,152,16
840,6,572.72,habitasse platea dictumst,2003,174,96
841,6,770.92,est lacinia nisi,2014,183,124
842,5,491.07,in tempor,1992,8,152
843,2,188.55,viverra diam vitae quam suspendisse,1996,159,130
844,6,770.88,augue luctus,1990,151,41
845,1,370.52,eget tempus vel,1990,167,49
846,7,742.36,semper est quam pharetra magna,1999,27,32
847,2,422.16,integer tincidunt ante vel ipsum,2006,132,61
848,4,668.58,diam in magna,2001,13,97
849,5,598.0,lobortis vel dapibus at,2015,146,19
850,5,740.98,lobortis est phasellus sit amet,2017,183,161
851,7,377.52,turpis,2021,183,129
852,3,386.38,tristique fusce congue diam,2002,37,46
853,2,528.67,enim blandit,2019,161,150
854,5,745.13,ornare imperdiet sapien urna pretium,2008,29,30
855,3,680.25,venenatis tristique fusce,1990,180,109
856,4,522.01,in porttitor pede justo,2016,157,3
857,1,364.17,purus eu magna vulputate,2020,193,187
858,1,253.81,sem sed,1991,200,16
859,4,632.99,consectetuer adipiscing elit proin,1996,131,103
860,1,171.31,natoque penatibus,2012,81,59
861,5,594.82,ut dolor morbi vel,2001,78,150
862,1,294.1,ac,2003,126,56
863,2,466.91,nascetur ridiculus mus,2003,76,98
864,4,158.36,montes nascetur ridiculus,1992,40,7
865,7,544.12,curabitur convallis duis consequat dui,2003,73,75
866,7,350.42,pede libero quis orci,2008,34,100
867,5,585.88,vulputate,1990,178,139
868,1,371.03,aliquet,1994,66,200
869,7,460.55,sapien dignissim,2001,38,61
870,4,397.86,montes nascetur ridiculus mus,2006,104,186
871,5,264.05,amet sapien dignissim vestibulum vestibulum,1991,89,4
872,6,595.82,fusce congue diam,2017,60,62
873,5,758.98,orci luctus,2019,154,66
874,2,293.25,in tempor turpis,2020,119,29
875,6,431.75,leo maecenas,1994,78,138
876,4,616.55,odio in hac habitasse platea,2010,188,3
877,6,756.75,sapien placerat ante nulla,2019,153,41
878,6,579.36,ante nulla justo,2019,5,23
879,2,597.21,risus auctor sed tristique,2000,189,73
880,3,506.73,metus arcu adipiscing molestie,2016,32,71
881,2,746.39,ultrices posuere cubilia curae,2018,75,38
882,7,483.41,neque,2021,102,160
883,1,165.27,lacinia aenean sit amet,2003,31,167
884,3,183.45,in magna bibendum,2016,9,9
885,5,362.61,sem duis,2011,145,11
886,7,449.12,et eros vestibulum,2013,34,161
887,7,680.97,in ante vestibulum ante ipsum,2007,74,189
888,1,231.32,pede,2004,5,82
889,5,587.84,ac neque duis bibendum,2014,17,91
890,2,434.8,dis parturient montes,2015,83,82
891,4,786.79,elit ac nulla,1997,74,23
892,1,168.31,orci vehicula condimentum curabitur in,1990,185,110
893,4,146.47,fermentum justo nec,2009,35,50
894,5,225.35,in hac habitasse platea dictumst,2009,9,51
895,1,668.69,aliquet,1997,75,87
896,6,176.91,at vulputate vitae nisl aenean,2014,171,135
897,5,648.88,in est risus auctor,2020,112,105
898,4,405.45,vel,2008,130,166
899,2,653.79,odio,2019,77,102
900,1,322.76,adipiscing elit proin interdum,1997,110,63
901,5,548.02,vulputate,2006,162,158
902,6,275.96,erat eros,1998,104,188
903,4,696.3,ligula in lacus curabitur,1995,90,99
904,1,723.48,turpis integer aliquet massa id,1993,79,122
905,4,717.59,vitae ipsum aliquam non mauris,1998,12,96
906,5,214.15,lobortis sapien,2006,62,193
907,1,147.64,hac habitasse platea,2000,85,100
908,2,671.84,dui vel nisl duis ac,1992,199,104
909,1,627.86,eget,1993,99,186
910,2,213.11,mattis,2012,79,44
911,6,572.25,sapien,1990,119,26
912,1,455.83,quam nec,1991,56,91
913,4,273.98,vestibulum sit amet cursus,2011,199,180
914,1,270.2,dui vel sem sed sagittis,2022,115,198
915,2,448.48,est lacinia,2016,165,157
916,7,717.8,nulla suscipit ligula in lacus,2002,17,134
917,5,618.64,in quam,2017,84,107
918,5,231.71,donec ut mauris eget,1995,40,198
919,4,490.2,tincidunt in leo,2021,34,111
920,6,676.66,posuere,2013,152,94
921,7,160.77,nunc donec,2000,142,79
922,6,739.95,dis parturient montes nascetur,2001,43,65
923,1,140.76,sit amet,2001,18,159
924,5,307.35,mattis odio donec vitae,1993,18,101
925,4,588.38,condimentum curabitur in libero,2012,26,70
926,7,683.73,cursus urna ut,2019,40,26
927,6,252.35,purus sit,1990,89,66
928,1,347.74,ligula,2018,46,28
929,6,380.46,eu tincidunt in leo,2015,91,33
930,6,577.17,bibendum,2016,190,27
931,1,634.8,erat id mauris vulputate elementum,2022,51,94
932,6,528.92,odio porttitor id consequat,2021,63,110
933,7,596.82,et ultrices posuere,2017,70,12
934,5,685.79,fermentum donec ut mauris,2009,17,7
935,3,348.08,consequat lectus in est risus,2009,62,189
936,3,493.02,eget eros elementum pellentesque,1999,197,161
937,2,270.42,aenean fermentum donec,1999,53,62
938,7,374.69,mus vivamus vestibulum,1990,47,132
939,7,197.35,pharetra,1991,168,3
940,1,244.72,turpis nec,2005,179,108
941,7,659.94,dui proin leo odio porttitor,2010,7,154
942,5,581.94,aliquam convallis nunc proin at,2001,153,16
943,5,251.55,sed accumsan,2019,177,108
944,1,284.78,dapibus at,2011,179,98
945,2,143.79,tincidunt lacus at velit vivamus,2005,160,27
946,2,748.42,amet erat,1992,48,14
947,3,279.41,amet nulla quisque arcu libero,2004,167,23
948,2,663.42,hac habitasse platea dictumst,2009,184,198
949,3,344.82,vel est,2008,57,20
950,1,310.09,pretium iaculis diam erat,1990,27,165
951,7,223.86,vestibulum sit,1994,28,53
952,3,243.61,arcu sed augue aliquam erat,1991,71,42
953,4,645.36,est,2018,127,119
954,1,742.8,dignissim vestibulum vestibulum ante ipsum,1990,90,118
955,6,600.96,nulla justo,2007,172,7
956,6,605.96,phasellus,2013,51,152
957,2,374.53,leo,2017,169,83
958,7,789.46,elementum ligula,1997,94,134
959,5,441.27,metus sapien ut nunc vestibulum,2009,48,144
960,1,421.04,accumsan tellus nisi eu orci,1993,17,82
961,7,339.66,lacinia eget,1995,39,71
962,1,771.05,sed,1999,108,79
963,1,216.46,venenatis lacinia aenean,2020,140,105
964,3,717.51,mi,2014,107,42
965,5,673.28,nisi volutpat,2001,17,121
966,6,445.92,nonummy integer non,2008,6,152
967,3,656.5,odio curabitur convallis duis,1990,110,137
968,5,213.85,rutrum at lorem integer,2017,163,98
969,7,355.7,vel,2021,120,74
970,1,381.6,curabitur at ipsum ac,1990,72,171
971,6,520.7,proin,1996,63,56
972,6,459.87,nam,1998,187,126
973,5,657.06,turpis a pede posuere,2009,36,2
974,6,586.66,ultrices aliquet maecenas,2019,31,6
975,2,467.39,etiam pretium iaculis,2016,94,65
976,4,258.74,suspendisse potenti in eleifend,2015,92,186
977,3,218.09,mauris morbi non lectus,2018,199,86
978,7,411.97,sed nisl nunc rhoncus,2006,141,69
979,4,626.16,et tempus semper est,2020,43,167
980,7,683.27,elementum in hac,2004,43,93
981,2,688.51,justo in blandit,2022,70,84
982,7,564.05,varius integer ac leo,1995,135,151
983,1,644.79,justo,2001,31,77
984,3,405.64,iaculis diam erat fermentum justo,1999,180,9
985,6,156.59,sem duis,2008,55,182
986,3,503.44,ligula pellentesque,2003,35,66
987,4,762.73,condimentum curabitur in libero,2005,154,196
988,7,208.19,faucibus accumsan odio curabitur convallis,2006,162,135
989,1,680.44,justo pellentesque viverra pede ac,2016,66,49
990,2,139.88,id lobortis convallis,2000,154,104
991,5,302.58,lectus pellentesque,2001,106,75
992,7,150.08,scelerisque,2003,92,35
993,1,229.41,aliquet maecenas leo,1997,167,121
994,4,508.07,sit,2007,188,33
995,3,173.46,mus vivamus vestibulum,1992,91,199
996,1,714.27,semper sapien,2019,59,116
997,6,137.19,nunc rhoncus,2007,66,115
998,2,371.03,fusce congue diam id,2017,153,156
999,5,438.72,condimentum curabitur,2009,47,19
1000,5,632.33,nam nulla integer pede justo,1999,125,56
